event_date,user_id,event_name,source,destination_city,craft_interest,booking_id,participants,price_per_person
2026-07-01,u1000,page_view,Instagram,Varanasi,Pottery,,,
2026-07-01,u1000,experience_card_viewed,Instagram,Varanasi,Pottery,,,
2026-07-01,u1001,page_view,Direct,Jaipur,Warli Painting,,,
2026-07-01,u1001,experience_card_viewed,Direct,Jaipur,Warli Painting,,,
2026-07-01,u1001,booking_started,Direct,Jaipur,Warli Painting,,,
2026-07-01,u1001,payment_success,Direct,Jaipur,Warli Painting,CRB5000,1,2500
2026-07-01,u1001,booking_completed,Direct,Jaipur,Warli Painting,CRB5000,1,2500
2026-07-01,u1002,page_view,Referral,Jaipur,Pottery,,,
2026-07-01,u1003,page_view,Google Search,Khurja,Weaving,,,
2026-07-01,u1003,experience_card_viewed,Google Search,Khurja,Weaving,,,
2026-07-01,u1004,page_view,Referral,Varanasi,Warli Painting,,,
2026-07-01,u1004,experience_card_viewed,Referral,Varanasi,Warli Painting,,,
2026-07-01,u1004,booking_started,Referral,Varanasi,Warli Painting,,,
2026-07-01,u1004,payment_success,Referral,Varanasi,Warli Painting,CRB5001,2,2200
2026-07-01,u1004,booking_completed,Referral,Varanasi,Warli Painting,CRB5001,2,2200
2026-07-01,u1004,review_submitted,Referral,Varanasi,Warli Painting,CRB5001,2,2200
2026-07-01,u1005,page_view,Instagram,Jaipur,Pottery,,,
2026-07-01,u1006,page_view,Google Search,Jaipur,Blue Pottery,,,
2026-07-01,u1006,experience_card_viewed,Google Search,Jaipur,Blue Pottery,,,
2026-07-01,u1007,page_view,Referral,Khurja,Weaving,,,
2026-07-01,u1007,experience_card_viewed,Referral,Khurja,Weaving,,,
2026-07-01,u1008,page_view,Instagram,Bangalore,Pottery,,,
2026-07-01,u1008,booking_started,Instagram,Bangalore,Pottery,,,
2026-07-01,u1008,payment_success,Instagram,Bangalore,Pottery,CRB5002,4,3000
2026-07-01,u1008,booking_completed,Instagram,Bangalore,Pottery,CRB5002,4,3000
2026-07-01,u1008,review_submitted,Instagram,Bangalore,Pottery,CRB5002,4,3000
2026-07-01,u1009,page_view,Referral,Udaipur,Weaving,,,
2026-07-01,u1009,experience_card_viewed,Referral,Udaipur,Weaving,,,
2026-07-01,u1010,page_view,Direct,Varanasi,Pottery,,,
2026-07-01,u1011,page_view,Travel Blog,Khurja,Weaving,,,
2026-07-01,u1011,experience_card_viewed,Travel Blog,Khurja,Weaving,,,
2026-07-01,u1012,page_view,Direct,Varanasi,Warli Painting,,,
2026-07-01,u1012,experience_card_viewed,Direct,Varanasi,Warli Painting,,,
2026-07-01,u1013,page_view,Referral,Khurja,Pottery,,,
2026-07-01,u1013,experience_card_viewed,Referral,Khurja,Pottery,,,
2026-07-01,u1013,booking_started,Referral,Khurja,Pottery,,,
2026-07-01,u1013,payment_success,Referral,Khurja,Pottery,CRB5003,2,1800
2026-07-01,u1013,booking_completed,Referral,Khurja,Pottery,CRB5003,2,1800
2026-07-01,u1014,page_view,Direct,Udaipur,Warli Painting,,,
2026-07-01,u1014,experience_card_viewed,Direct,Udaipur,Warli Painting,,,
2026-07-01,u1015,page_view,Instagram,Jaipur,Warli Painting,,,
2026-07-01,u1016,page_view,Referral,Jaipur,Weaving,,,
2026-07-01,u1016,experience_card_viewed,Referral,Jaipur,Weaving,,,
2026-07-01,u1017,page_view,Referral,Bangalore,Pottery,,,
2026-07-01,u1017,experience_card_viewed,Referral,Bangalore,Pottery,,,
2026-07-01,u1017,booking_started,Referral,Bangalore,Pottery,,,
2026-07-01,u1017,payment_success,Referral,Bangalore,Pottery,CRB5004,3,1800
2026-07-01,u1017,booking_completed,Referral,Bangalore,Pottery,CRB5004,3,1800
2026-07-01,u1017,review_submitted,Referral,Bangalore,Pottery,CRB5004,3,1800
2026-07-01,u1018,page_view,Referral,Udaipur,Block Printing,,,
2026-07-01,u1018,experience_card_viewed,Referral,Udaipur,Block Printing,,,
2026-07-01,u1019,page_view,Referral,Khurja,Block Printing,,,
2026-07-01,u1019,experience_card_viewed,Referral,Khurja,Block Printing,,,
